number,bin_volume,filled_bins,empty_bins,colors,a_star_tree_h2_time,a_star_tree_h2_sol,a_star_tree_h2_expanded,a_star_graph_h2_time,a_star_graph_h2_sol,a_star_graph_h2_expanded,a_star_tree_h3_time,a_star_tree_h3_sol,a_star_tree_h3_expanded,a_star_graph_h3_time,a_star_graph_h3_sol,a_star_graph_h3_expanded,random_walk_time,random_walk_sol,random_walk_restart,hill_no_sideways_h1_time,hill_no_sideways_h1_sol,hill_sideways_h1_time,hill_sideways_h1_sol,hill_no_sideways_h2_time,hill_no_sideways_h2_sol,hill_sideways_h2_time,hill_sideways_h2_sol,hill_no_sideways_h3_time,hill_no_sideways_h3_sol,hill_sideways_h3_time,hill_sideways_h3_sol,dfs_graph_time,dfs_graph_sol,dfs_graph_expanded,bfs_graph_time,bfs_graph_sol,bfs_graph_expanded
848,4,4,2,4,0.038770819,10.0,205,0.1483821868896484,10.0,62,0.0121237277984619,10.0,74,0.013104033,11,64,0.002769423,19,0,0.001515579,,0.07634356,,0.01039598,12.0,0.011476898,12.0,0.015936112,12.0,0.012823868,12.0,0.0452840328216552,73,359,1.4052451848983765,,10000
849,4,4,2,4,0.004034901,5.0,28,0.06459713,5.0,28,0.005036616,5.0,34,0.006601214,6,34,0.001815009,8,0,0.001719737,,0.078118896,,0.005212116,,0.009833598,12.0,0.01158042,11.0,0.009758067,11.0,0.0161807537078857,32,152,1.4904102087020874,,10000
850,4,4,2,4,0.006183219,11.0,43,0.091042757,11.0,43,0.00904789,11.0,47,0.0108924627304077,12,47,0.003876543,16,0,0.002114654,,0.07956512,,0.002910781,,0.007804489,9.0,0.001298952,,0.00813477,10.0,0.0400142669677734,61,332,1.4008830785751345,,10000
851,4,4,2,4,0.007652044,9.0,36,0.076044559,9.0,36,0.00758822,9.0,44,0.007337952,10,44,0.0123254537582397,19,0,0.002614951,,0.08233707,,0.007856917,9.0,0.006906843,9.0,0.002899384,,0.010529852,11.0,0.0647263526916503,71,342,1.4312543869018557,,10000
852,4,4,2,4,0.008065557,11.0,48,0.082519293,11.0,48,0.0353458166122436,11.0,184,0.024972558,12,103,0.002990294,17,0,0.001321244,,0.100719738,,0.008520412,9.0,0.007969284,9.0,0.009453583,9.0,0.009738779,9.0,0.075295090675354,100,640,1.461583375930786,,10000
853,4,4,2,4,0.8806916952133179,11.0,4943,4.134252548217773,11.0,1686,0.0126232385635375,11.0,71,0.01337738,12,71,0.002618003,19,0,0.001849389,,0.082082057,,0.00697422,10.0,0.007735777,10.0,0.001399636,,0.010008025,11.0,0.0153628587722778,35,146,1.4726243019104004,,10000
854,4,4,2,4,0.0142583131790161,8.0,74,0.4149332046508789,8.0,184,0.010176182,8.0,71,0.0185789346694946,9,86,0.002469873,16,0,0.002408195,,0.096479845,,0.007503915,,0.007928181,10.0,0.002232337,,0.007600427,10.0,0.0540992021560668,88,455,1.5399391651153564,,10000
855,4,4,2,4,0.006886339,10.0,40,0.082295418,10.0,40,0.2082520484924316,10.0,1021,0.086077929,11,326,0.009139085,23,0,0.002307749,,0.093331909,,0.006540871,,0.010988021,11.0,0.011368895,11.0,0.010543299,11.0,0.0274437665939331,52,248,1.489538311958313,,10000
856,4,4,2,4,0.011129856,9.0,60,0.092369318,9.0,52,0.1156100034713745,9.0,591,0.035146713,10,125,0.003971863,16,0,0.003119349,,0.084563303,,0.006398702,8.0,0.006756616,8.0,0.001500559,,0.011670828,10.0,0.072379469871521,83,396,1.4609071016311646,,10000
857,4,4,2,4,1.8055042266845704,,10000,1.8435428142547607,11.0,759,0.0102817773818969,11.0,57,0.0125312566757202,11,57,0.00418973,18,0,0.00131588,,0.067841005,,0.007074237,9.0,0.006955266,9.0,0.01165688,9.0,0.008865666,9.0,0.0151947736740112,32,139,1.5758132934570312,,10000
